"lac","mu","K","gam","laa","reps"
0.4,0.3,20,0.001,0.1,42
0.4,0.3,20,0.001,0.1,43
0.4,0.3,20,0.001,0.1,44
0.4,0.3,20,0.001,0.1,45
0.4,0.3,20,0.001,0.1,46
0.4,0.3,20,0.001,0.1,47
0.4,0.3,20,0.001,0.1,48
0.4,0.3,20,0.001,0.1,49
0.4,0.3,20,0.001,0.1,50
0.4,0.3,20,0.001,0.1,51
0.4,0.3,20,0.001,0.1,52
0.4,0.3,20,0.001,0.1,53
0.4,0.3,20,0.001,0.1,54
0.4,0.3,20,0.001,0.1,55
0.4,0.3,20,0.001,0.1,56
0.4,0.3,20,0.001,0.1,57
0.4,0.3,20,0.001,0.1,58
0.4,0.3,20,0.001,0.1,59
0.4,0.3,20,0.001,0.1,60
0.4,0.3,20,0.001,0.1,61
0.4,0.3,20,0.001,0.1,62
0.4,0.3,20,0.001,0.1,63
0.4,0.3,20,0.001,0.1,64
0.4,0.3,20,0.001,0.1,65
0.4,0.3,20,0.001,0.1,66
0.4,0.3,20,0.001,0.1,67
0.4,0.3,20,0.001,0.1,68
0.4,0.3,20,0.001,0.1,69
0.4,0.3,20,0.001,0.1,70
0.4,0.3,20,0.001,0.1,71
0.4,0.3,20,0.001,0.1,72
0.4,0.3,20,0.001,0.1,73
0.4,0.3,20,0.001,0.1,74
0.4,0.3,20,0.001,0.1,75
0.4,0.3,20,0.001,0.1,76
0.4,0.3,20,0.001,0.1,77
0.4,0.3,20,0.001,0.1,78
0.4,0.3,20,0.001,0.1,79
0.4,0.3,20,0.001,0.1,80
0.4,0.3,20,0.001,0.1,81
0.4,0.3,20,0.001,0.1,82
0.4,0.3,20,0.001,0.1,83
0.4,0.3,20,0.001,0.1,84
0.4,0.3,20,0.001,0.1,85
0.4,0.3,20,0.001,0.1,86
0.4,0.3,20,0.001,0.1,87
0.4,0.3,20,0.001,0.1,88
0.4,0.3,20,0.001,0.1,89
0.4,0.3,20,0.001,0.1,90
0.4,0.3,20,0.001,0.1,91
0.4,0.3,20,0.001,0.1,92
0.4,0.3,20,0.001,0.1,93
0.4,0.3,20,0.001,0.1,94
0.4,0.3,20,0.001,0.1,95
